dir_sizes,circles,codes,titles,dir
207.46362,音ノ葉クリエイト,RJ185283,[音ノ葉クリエイト]恋するひとつ軒の下「幽霊お姉さん咲樂子編」,voice/音ノ葉クリエイト/RJ185283 \[音ノ葉クリエイト] 恋するひとつ軒の下「幽霊お姉さん咲樂子編」/
40.952682,欲望の塔 (Tower of Desire),RJ180582,[欲望の塔]淫魔の交換条件,voice/欲望の塔 (Tower of Desire)/RJ180582 \[欲望の塔] 淫魔の交換条件/
10.953807,帽子屋,RJ203896,催眠音声-TSアリス～ワンダーランド～,voice/帽子屋/RJ203896 催眠音声-TSアリス～ワンダーランド～/
259.4603,ディーブルスト (Die Brust),RJ179669,[ディーブルスト]CureFoot-涼奈,voice/ディーブルスト (Die Brust)/RJ179669 \[ディーブルスト] Cure Foot-涼奈/
238.805,ディーブルスト (Die Brust),RJ175803,[ディーブルスト]【期間限定価格】CureFace2-美菜,voice/ディーブルスト (Die Brust)/RJ175803 \[ディーブルスト] 【期間限定価格】Cure Face2-美菜/
1488.613,エロトランス,RJ205378,2人で催眠生放送,voice/エロトランス/RJ205378 2人で催眠生放送/
134.80042,りんご晴れ,RJ178705,ちいさな夢のおはなし。,voice/りんご晴れ/RJ178705 ちいさな夢のおはなし。/
343.1018,めがみそふと (Megami Soft),RJ177794,撫猫さんと交際,voice/めがみそふと (Megami Soft)/RJ177794 撫猫さんと交際/
474.3472,momoiro-code,RJ141480,【田舎耳かき】道草屋芹-ご連泊【ソルフェジオ音源】,voice/momoiro-code/RJ141480 【田舎耳かき】道草屋 芹-ご連泊【ソルフェジオ音源】/
105.025055,human chair,RJ111331,菜月お姉ちゃんのバイノーラル喘ぎ声～左右同時に喘いであげる～,voice/human chair/RJ111331 菜月お姉ちゃんのバイノーラル喘ぎ声～左右同時に喘いであげる～/
272.4707,Rip@Lip,RJ173355,[Rip@Lip]イケナイコト-radiodramaversion-,voice/Rip@Lip/RJ173355 \[Rip@Lip] イケナイコト-radio drama version-/
0.0,R502MP~2,RJ189821,東方入眠抄13太陽燦々、幽香さんが花を愛でるように愛してくれる入眠音声,voice/R502MP~2/RJ189821 東方入眠抄13 太陽燦々、幽香さんが花を愛でるように愛してくれる入眠音声/
148.9457,R502MP~2,RJ186386,東方入眠抄12ぱるすい〜と〜パルスィに狂おしいほど愛される入眠音声〜,voice/R502MP~2/RJ186386 東方入眠抄12 ぱるすい〜と 〜パルスィに狂おしいほど愛される入眠音声〜/
230.58176,Nicomidori,RJ175731,田舎の無感情保健委員長と性交の特訓。_lite,voice/Nicomidori/RJ175731 田舎の無感情保健委員長と性交の特訓。_lite/
88.316376,Melty Beans,RJ173539,-NTRS-私がネトラセラレる３つの理由,voice/Melty Beans/RJ173539 -NTRS- 私がネトラセラレる３つの理由/
108.80838,Melty Beans,RJ164985,恋人催眠妄想彼女,voice/Melty Beans/RJ164985 恋人催眠 妄想彼女/
112.03463,LYTO,RJ175268,耳かき系女子vol.2,voice/LYTO/RJ175268 耳かき系女子vol.2/
123.316925,LYTO,RJ172752,【耳かき】くつろぎ屋美鈴編【催眠】,voice/LYTO/RJ172752 【耳かき】くつろぎ屋 美鈴編【催眠】/
97.25799,JON,RJ179618,緊急射精病棟24時,voice/JON/RJ179618 緊急射精病棟24時/
0.0,Igasaki Ayaka,RJ174314,極上の癒し～夢見月の湯宿一泊二日専属仲居付きスイートプラン,voice/Igasaki Ayaka/RJ174314 極上の癒し～夢見月の湯宿一泊二日専属仲居付きスイートプラン/
0.0,Igasaki Ayaka,RJ169816,【イヤホン必須】みみもと☆あだると放送局ver2【バイノーラル録音】,voice/Igasaki Ayaka/RJ169816 【イヤホン必須】みみもと☆あだると放送局ver2【バイノーラル録音】/
0.0,Igasaki Ayaka,RJ164219,【イヤホン必須】みみもと☆あだると放送局ver1【バイノーラル録音】,voice/Igasaki Ayaka/RJ164219 【イヤホン必須】みみもと☆あだると放送局ver1【バイノーラル録音】/
0.0,Igasaki Ayaka,RJ163404,みみぼんver2!バイノーラル囁き耳かき付き☆,voice/Igasaki Ayaka/RJ163404 みみぼんver2!バイノーラル囁き耳かき付き☆/
0.0,Igasaki Ayaka,RJ158551,ASMR☆めいどinあやか,voice/Igasaki Ayaka/RJ158551 ASMR☆めいどinあやか/
0.0,Igasaki Ayaka,RJ157634,甘やかされorモルモット入院生活!,voice/Igasaki Ayaka/RJ157634 甘やかされorモルモット入院生活!/
0.0,Igasaki Ayaka,RJ157024,ぐるーみんぐ☆まっさーじ♪『かりん』,voice/Igasaki Ayaka/RJ157024 ぐるーみんぐ☆まっさーじ♪ 『かりん』/
0.0,Igasaki Ayaka,RJ152751,添い寝カフェ『しろくまのしっぽ』,voice/Igasaki Ayaka/RJ152751 添い寝カフェ 『しろくまのしっぽ』/
0.0,Igasaki Ayaka,RJ151273,理想の玩具の作り方～実験素材募集中☆～,voice/Igasaki Ayaka/RJ151273 理想の玩具の作り方～実験素材募集中☆～/
0.0,Igasaki Ayaka,RJ150119,暴走メイドの妄想!日記2,voice/Igasaki Ayaka/RJ150119 暴走メイドの妄想!日記2/
0.0,Igasaki Ayaka,RJ146769,暴走メイドの妄想!？日記,voice/Igasaki Ayaka/RJ146769 暴走メイドの妄想!？日記/
193.11978,Igasaki Ayaka,RJ142722,貴方は勇者様ではありません!,voice/Igasaki Ayaka/RJ142722 貴方は勇者様ではありません!/
0.0,Igasaki Ayaka,RJ140837,智美先生の早漏とれーにんぐ♪,voice/Igasaki Ayaka/RJ140837 智美先生の早漏とれーにんぐ♪/
0.0,Igasaki Ayaka,RJ139194,山奥の隠れ家旅館,voice/Igasaki Ayaka/RJ139194 山奥の隠れ家旅館/
0.0,Igasaki Ayaka,RJ135368,耳かき研究部入門編&文化祭ver2.0,voice/Igasaki Ayaka/RJ135368 耳かき研究部 入門編&文化祭ver2.0/
0.0,Igasaki Ayaka,RJ126678,貴方のお部屋にお邪魔します!,voice/Igasaki Ayaka/RJ126678 貴方のお部屋にお邪魔します!/
0.0,Igasaki Ayaka,RJ126677,シロクマ耳かき店へようこそ!2＆シロクマの湯。,voice/Igasaki Ayaka/RJ126677 シロクマ耳かき店へようこそ!2＆シロクマの湯。/
0.0,Igasaki Ayaka,RJ120445,立体音響!人妻さんとの秘密♪,voice/Igasaki Ayaka/RJ120445 立体音響!人妻さんとの秘密♪/
0.0,Igasaki Ayaka,RJ120439,立体音響!PC乗っ取り計画♪,voice/Igasaki Ayaka/RJ120439 立体音響!PC乗っ取り計画♪/
48.12606,Igasaki Ayaka,RJ117353,立体音響♪シロクマ耳かき店!(添い寝&耳かきボイス作成ツール付き!),voice/Igasaki Ayaka/RJ117353 立体音響♪シロクマ耳かき店! (添い寝&耳かきボイス作成ツール付き!)/
88.32987,Igasaki Ayaka,RJ117345,立体音響♪シロクマ耳かき店へようこそ!,voice/Igasaki Ayaka/RJ117345 立体音響♪シロクマ耳かき店へようこそ!/
45.282326,Igasaki Ayaka,RJ116066,立体音響!ご主人様の命令は絶対です!,voice/Igasaki Ayaka/RJ116066 立体音響!ご主人様の命令は絶対です!/
55.517776,Igasaki Ayaka,RJ114198,立体音響添い寝ボイス『理想の姉妹ver』,voice/Igasaki Ayaka/RJ114198 立体音響添い寝ボイス『理想の姉妹ver』/
59.231724,Igasaki Ayaka,RJ112505,『立体音響!電車で、電話で、お部屋で♪おねぇさんにイタズラされる音声』,voice/Igasaki Ayaka/RJ112505 『立体音響!電車で、電話で、お部屋で♪おねぇさんにイタズラされる音声』/
33.142536,Igasaki Ayaka,RJ096025,立体音響耳かきボイス(女医さんver)アナザーストーリー,voice/Igasaki Ayaka/RJ096025 立体音響耳かきボイス(女医さんver)アナザーストーリー/
155.6247,Honnyara Industry,RJ175666,痴女ナースノアの3つの姉ショタ搾精病院,voice/Honnyara Industry/RJ175666 痴女ナース ノアの3つの姉ショタ搾精病院/
307.1697,Garden of pleasure,RJ159645,おねえさんが可愛がってあ・げ・る2～もっともっとあまぁく責められちゃうバイノーラル～,voice/Garden of pleasure/RJ159645 おねえさんが可愛がってあ・げ・る 2 ～もっともっとあまぁく責められちゃうバイノーラル～/
213.95131,Garden of pleasure,RJ137139,おねえさんが可愛がってあ・げ・る～あまぁく責められちゃうバイノーラル!～,voice/Garden of pleasure/RJ137139 おねえさんが可愛がって あ・げ・る ～あまぁく責められちゃうバイノーラル!～/
59.734238,B-bishop,RJ158131,お姉さんのノルマ式オナニーサポートシコシコ1000回に負けなさい？【井上果林】,voice/B-bishop/RJ158131 お姉さんのノルマ式オナニーサポート シコシコ1000回に負けなさい？ 【井上果林】/
108.36863,APPLE project,RJ193968,有村真紀の教えて恋のABC,voice/APPLE project/RJ193968 有村真紀の教えて恋のABC/
596.3828,APPLE project,RJ174889,由貴先生の終わらない課外授業,voice/APPLE project/RJ174889 由貴先生の終わらない課外授業/
206.17093,APPLE project,RJ174884,今日の久美子とよしののガールズトークのばあい,voice/APPLE project/RJ174884 今日の久美子とよしののガールズトークのばあい/
570.8879,APPLE project,RJ166116,由貴先生のあぶない課外授業,voice/APPLE project/RJ166116 由貴先生のあぶない課外授業/
388.59726,APPLE project,RJ159079,セーラー服を脱がされちゃうよしのちゃんのばあい,voice/APPLE project/RJ159079 セーラー服を脱がされちゃうよしのちゃんのばあい/
352.59268,APPLE project,RJ148818,芽依先輩の熱いミミカキ,voice/APPLE project/RJ148818 芽依先輩の熱いミミカキ/
0.0,APPLE project,RJ148817,由貴先生のイケナイ課外授業,voice/APPLE project/RJ148817 由貴先生のイケナイ課外授業/
621.83844,APPLE project,RJ136164,今日の久美子、かなり大胆,voice/APPLE project/RJ136164 今日の久美子、かなり大胆/
520.7494,APPLE project,RJ133324,おしおきにバニースーツを着せられたよしのちゃんのばあい,voice/APPLE project/RJ133324 おしおきにバニースーツを着せられたよしのちゃんのばあい/
44.082825,APPLE project,RJ130385,今日の久美子、もっと大胆,voice/APPLE project/RJ130385 今日の久美子、もっと大胆/
152.77086,APPLE project,RJ130117,今日の久美子、ちょっと大胆完全版,voice/APPLE project/RJ130117 今日の久美子、ちょっと大胆 完全版/
